# http://www.forbes.com/lists/2010/10/billionaires-2010_The-Worlds-Billionaires_Rank.html

Rank	Name	Citizenship	Age	Net Worth ($bil)	Residence
1 	Carlos Slim Helu & family	Mexico 	70 	53.5 	Mexico
2 	William Gates III	United States 	54 	53.0 	United States
3 	Warren Buffett	United States 	79 	47.0 	United States
4 	Mukesh Ambani	India 	52 	29.0 	India
5 	Lakshmi Mittal	India 	59 	28.7 	United Kingdom
6 	Lawrence Ellison	United States 	65 	28.0 	United States
7 	Bernard Arnault	France 	61 	27.5 	France
8 	Eike Batista	Brazil 	53 	27.0 	Brazil
9 	Amancio Ortega	Spain 	74 	25.0 	Spain
10 	Karl Albrecht	Germany 	90 	23.5 	Germany
11 	Ingvar Kamprad & family	Sweden 	83 	23.0 	Switzerland
12 	Christy Walton & family	United States 	55 	22.5 	United States
13 	Stefan Persson	Sweden 	62 	22.4 	Sweden
14 	Li Ka-shing	Hong Kong 	81 	21.0 	Hong Kong
15 	Jim Walton	United States 	62 	20.7 	United States
16 	Alice Walton	United States 	60 	20.6 	United States
17 	Liliane Bettencourt	France 	87 	20.0 	France
18 	S. Robson Walton	United States 	66 	19.8 	United States
19 	Prince Alwaleed Bin Talal Alsaud	Saudi Arabia 	55 	19.4 	Saudi Arabia
20 	David Thomson & family	Canada 	52 	19.0 	Canada
21 	Michael Otto & family	Germany 	66 	18.7 	Germany
22 	Lee Shau Kee	Hong Kong 	82 	18.5 	Hong Kong
23 	Michael Bloomberg	United States 	68 	18.0 	United States
24 	Sergey Brin	United States 	36 	17.5 	United States
24 	Charles Koch	United States 	74 	17.5 	United States
24 	David Koch	United States 	69 	17.5 	United States
24 	Larry Page	United States 	37 	17.5 	United States
28 	Michele Ferrero & family	Italy 	83 	17.0 	Monaco
28 	Kwok family	Hong Kong 	NA 	17.0 	Hong Kong
28 	Azim Premji	India 	64 	17.0 	India
31 	Theo Albrecht	Germany 	88 	16.7 	Germany
32 	Vladimir Lisin	Russia 	53 	15.8 	Russia
33 	Steven Ballmer	United States 	54 	14.5 	United States
33 	Robert Kuok	Malaysia 	86 	14.5 	Hong Kong
35 	George Soros	United States 	79 	14.0 	United States
36 	Anil Ambani	India 	50 	13.7 	India
37 	Paul Allen	United States 	57 	13.5 	United States
37 	Michael Dell	United States 	45 	13.5 	United States
39 	Mikhail Prokhorov	Russia 	44 	13.4 	Russia
40 	Birgit Rausing & family	Sweden 	86 	13.0 	Switzerland
40 	Shashi & Ravi Ruia	India 	66 	13.0 	India
42 	Mikhail Fridman	Russia 	45 	12.7 	Russia
43 	Jeffrey Bezos	United States 	46 	12.3 	United States
44 	Savitri Jindal	India 	60 	12.2 	India
45 	Donald Bren	United States 	77 	12.0 	United States
45 	Gerald Cavendish Grosvenor & family	United Kingdom 	58 	12.0 	United Kingdom
45 	John Paulson	United States 	54 	12.0 	United States
48 	Abigail Johnson	United States 	48 	11.5 	United States
48 	Jorge Paulo Lemann	Brazil 	70 	11.5 	Brazil
50 	Roman Abramovich	Russia 	43 	11.2 	Russia 
51 	Susanne Klatten	Germany 	47 	11.1 	Germany
52 	Iris Fontbona & family	Chile 	NA 	11.0 	Chile
52 	Forrest Mars Jr	United States 	78 	11.0 	United States
52 	Jacqueline Mars	United States 	70 	11.0 	United States
52 	John Mars	United States 	73 	11.0 	United States
52 	Ronald Perelman	United States 	67 	11.0 	United States
57 	Oleg Deripaska	Russia 	42 	10.7 	Russia
58 	Vagit Alekperov	Russia 	59 	10.6 	Russia
59 	Leonardo Del Vecchio	Italy 	74 	10.5 	Italy
59 	Carl Icahn	United States 	74 	10.5 	United States
61 	Vladimir Potanin	Russia 	49 	10.3 	Russia
62 	Philip Knight	United States 	72 	10.2 	United States
63 	Ricardo Salinas Pliego & family	Mexico 	54 	10.1 	Mexico
64 	Mohammed Al Amoudi	Saudi Arabia 	65 	10.0 	Saudi Arabia
64 	Ernesto Bertarelli & family	Switzerland 	44 	10.0 	Switzerland
64 	Anne Cox Chambers	United States 	90 	10.0 	United States
64 	George Kaiser	United States 	67 	10.0 	United States
64 	Hans Rausing	Sweden 	84 	10.0 	United Kingdom
64 	Joseph Safra	Brazil 	71 	10.0 	Brazil
70 	Alexei Mordashov	Russia 	44 	9.9 	Russia
71 	Viktor Rashnikov	Russia 	61 	9.8 	Russia
72 	German Larrea Mota Velasco & family	Mexico 	56 	9.7 	Mexico
73 	Sheldon Adelson	United States 	76 	9.3 	United States
74 	Silvio Berlusconi & family	Italy 	73 	9.0 	Italy
74 	Dan Duncan	United States 	77 	9.0 	United States 
74 	Kushal Pal Singh	India 	78 	9.0 	India
77 	Nasser Al-Kharafi & family	Kuwait 	66 	8.7 	Kuwait
77 	Francois Pinault & family	France 	73 	8.7 	France
79 	Dmitry Rybolovlev	Russia 	43 	8.6 	Russia
80 	Iskander Makhmudov	Russia 	46 	8.5 	Russia
80 	James Simons	United States 	71 	8.5 	United States
82 	Alberto Bailleres & family	Mexico 	77 	8.3 	Mexico
83 	German Khan	Russia 	48 	8.2 	Russia
84 	Eliodoro, Bernardo & Patricia Matte	Chile 	NA 	8.1 	Chile
85 	Edward Johnson III	United States 	79 	8.0 	United States
86 	Kumar Birla	India 	42 	7.9 	India
87 	Sunil Mittal	India 	52 	7.8 	India
88 	John Fredriksen	Cyprus 	65 	7.7 	United Kingdom
89 	Serge Dassault & family	France 	84 	7.6 	France
89 	Petr Kellner	Czech Republic 	45 	7.6 	Czech Republic
89 	Ananda Krishnan	Malaysia 	71 	7.6 	Malaysia
89 	Tadashi Yanai & family	Japan 	61 	7.6 	Japan
93 	Mohamed Bin Issa Al Jaber	Saudi Arabia 	51 	7.5 	Saudi Arabia
93 	Len Blavatnik	United States 	52 	7.5 	United Kingdom
93 	David & Simon Reuben	United Kingdom 	67 	7.5 	United Kingdom
93 	Nobutada Saji & family	Japan 	64 	7.5 	Japan
93 	Alain & Gerard Wertheimer	France 	NA 	7.5 	NA
93 	Vladimir Yevtushenkov	Russia 	61 	7.5 	Russia
99 	August von Finck	Germany 	80 	7.3 	Switzerland
100 	Lee Kun-Hee	South Korea 	68 	7.2 	South Korea
100 	Alisher Usmanov	Russia 	56 	7.2 	Russia
100 	Galen Weston & family	Canada 	69 	7.2 	Canada
103 	Charlene de Carvalho-Heineken	Netherlands 	55 	7.0 	United Kingdom
103 	Zong Qinghou	China 	64 	7.0 	China
105 	James Goodnight	United States 	67 	6.9 	United States
106 	Cheng Yu-tung	Hong Kong 	84 	6.8 	Hong Kong
107 	Philip & Cristina Green	United Kingdom 	58 	6.7 	United Kingdom
108 	Klaus-Michael Kuhne	Germany 	72 	6.6 	Switzerland
109 	Sulaiman Al Rajhi	Saudi Arabia 	90 	6.5 	Saudi Arabia
109 	John Kluge	United States 	95 	6.5 	United States
109 	Alexei Kuzmichev	Russia 	47 	6.5 	Russia
109 	Sammy Ofer & family	Israel 	88 	6.5 	Monaco
113 	Anil Agarwal	India 	56 	6.4 	United Kingdom
113 	Steven Cohen	United States 	54 	6.4 	United States
113 	Viktor Vekselberg	Russia 	52 	6.4 	Russia
113 	Igor Zyuzin	Russia 	49 	6.4 	Russia
117 	Curt Engelhorn	Germany 	83 	6.3 	Switzerland
117 	Akira Mori & family	Japan 	73 	6.3 	Japan
117 	Rupert Murdoch	United States 	79 	6.3 	United States
117 	Eric Schmidt	United States 	54 	6.3 	United States
121 	Alexander Abramov	Russia 	51 	6.1 	Russia
121 	Hansjorg Wyss	Switzerland 	75 	6.1 	United States
123 	Philip Anschutz	United States 	70 	6.0 	United States
123 	Antonia Johnson	Sweden 	66 	6.0 	Sweden
123 	Julio Mario Santo Domingo	Colombia 	86 	6.0 	Colombia 
123 	Jack Taylor & family	United States 	87 	6.0 	United States
127 	Nassef Sawiris	Egypt 	48 	5.9 	Egypt
127 	Masayoshi Son	Japan 	52 	5.9 	Japan
129 	Saleh Al Rajhi	Saudi Arabia 	98 	5.8 	Saudi Arabia
129 	Joseph Lau	Hong Kong 	58 	5.8 	Hong Kong
129 	Pallonji Mistry	Ireland 	80 	5.8 	India
132 	Eli Broad	United States 	76 	5.7 	United States
132 	Stefan Quandt	Germany 	43 	5.7 	Germany
132 	Reinhold Wurth	Germany 	74 	5.7 	Germany
135 	Luis Carlos Sarmiento	Colombia 	77 	5.6 	Colombia
136 	Leonid Fedun	Russia 	53 	5.5 	Russia
136 	Terry Gou	Taiwan 	59 	5.5 	Taiwan
136 	Harold Hamm	United States 	64 	5.5 	United States
136 	Steven Jobs	United States 	55 	5.5 	United States
136 	Suleiman Kerimov	Russia 	44 	5.5 	Russia
136 	John Menard Jr	United States 	70 	5.5 	United States
136 	Dorothea Steinbruch & family	Brazil 	NA 	5.5 	Brazil
143 	Kunio Busujima & family	Japan 	84 	5.4 	Japan
144 	Giorgio Armani	Italy 	75 	5.3 	Italy
144 	Graeme Hart	New Zealand 	54 	5.3 	New Zealand
144 	Spiro Latsis & family	Greece 	63 	5.3 	Switzerland
144 	Ira Rennert	United States 	75 	5.3 	United States
148 	Rinat Akhmetov	Ukraine 	43 	5.2 	Ukraine
148 	Charles Ergen	United States 	57 	5.2 	United States
148 	Adi Godrej & family	India 	67 	5.2 	India
148 	Pierre Omidyar	United States 	42 	5.2 	United States
152 	Michael Kadoorie & family	Hong Kong 	69 	5.1 	Hong Kong
152 	Marcel Herrmann Telles	Brazil 	60 	5.1 	Brazil
154 	David Geffen	United States 	67 	5.0 	United States
154 	Jim Kennedy	United States 	62 	5.0 	United States
154 	Karl-Heinz Kipp	Germany 	86 	5.0 	Switzerland
154 	Liu Yongxing	China 	62 	5.0 	China
154 	Frederik G.H. Meijer & family	United States 	90 	5.0 	United States
154 	Nicky Oppenheimer & family	South Africa 	64 	5.0 	South Africa
154 	Blair Parry-Okeden	United States 	59 	5.0 	Australia
154 	Horst Paulmann & family	Chile 	75 	5.0 	Chile
154 	Hasso Plattner	Germany 	66 	5.0 	Germany
154 	Sergei Popov	Russia 	38 	5.0 	Russia
154 	Johanna Quandt	Germany 	83 	5.0 	Germany
154 	Patrick Soon-Shiong	United States 	58 	5.0 	United States
166 	Tsai Wan-Tsai & family	Taiwan 	80 	4.9 	Taiwan
167 	Gautam Adani	India 	47 	4.8 	India
167 	Isak Andic & family	Spain 	55 	4.8 	Spain
167 	Boris Ivanishvili	Russia 	54 	4.8 	Georgia
167 	Hiroshi Mikitani	Japan 	45 	4.8 	Japan
171 	Charles Schwab	United States 	72 	4.7 	United States
171 	Stephen Schwarzman	United States 	63 	4.7 	United States
173 	Jean-Claude Decaux & family	France 	72 	4.6 	France
173 	Ralph Lauren	United States 	70 	4.6 	United States
173 	Dilip Shanghvi	India 	54 	4.6 	India 
176 	Robert Bass	United States 	62 	4.5 	United States
176 	Andrew Beal	United States 	57 	4.5 	United States
176 	William Cook	United States 	78 	4.5 	United States
176 	Richard DeVos	United States 	84 	4.5 	United States
176 	Erivan Haub & family	Germany 	77 	4.5 	Germany
176 	Pauline MacMillan Keinath	United States 	76 	4.5 	United States
176 	Cargill MacMillan Jr	United States 	83 	4.5 	United States
176 	Whitney MacMillan	United States 	81 	4.5 	United States
176 	Samuel Newhouse Jr	United States 	82 	4.5 	United States
176 	Marion MacMillan Pictet	United States 	77 	4.5 	Bermuda
176 	Carlos Alberto Sicupira	Brazil 	62 	4.5 	Brazil
176 	Harold Simmons	United States 	78 	4.5 	United States
176 	Zhang Jindong	China 	47 	4.5 	China
189 	Micky Arison	United States 	60 	4.4 	United States
189 	Lee Shin Cheng	Malaysia 	70 	4.4 	Malaysia
189 	Andrey Melnichenko	Russia 	38 	4.4 	Russia
189 	Leonid Mikhelson	Russia 	54 	4.4 	Russia
189 	Elizabeth Mohn & family	Germany 	69 	4.4 	Germany
189 	Robert Rowling	United States 	56 	4.4 	United States
189 	Wang Chuanfu	China 	44 	4.4 	China
189 	Karl Wlaschek	Austria 	92 	4.4 	Austria
197 	Heinz-Horst Deichmann	Germany 	83 	4.3 	Germany
197 	Thomas Schmidheiny	Switzerland 	64 	4.3 	Switzerland
197 	Tsai Eng-Meng	Taiwan 	53 	4.3 	China
197 	Peter Woo & family	Hong Kong 	64 	4.3 	Hong Kong 
201 	Gustavo Cisneros & family	Venezuela 	64 	4.2 	Venezuela
201 	Aloysio de Andrade Faria	Brazil 	89 	4.2 	Brazil
201 	Henry Kravis	United States 	66 	4.2 	United States
201 	Shiv Nadar	India 	64 	4.2 	India
201 	Henry Sy & family	Philippines 	85 	4.2 	Philippines
201 	Dennis Washington	United States 	75 	4.2 	United States
201 	Hiroshi Yamauchi	Japan 	82 	4.2 	Japan
208 	Lester Crown & family	United States 	84 	4.1 	United States
208 	Andrew Forrest	Australia 	48 	4.1 	Australia
208 	Dietrich Mateschitz	Austria 	65 	4.1 	Austria
208 	Chaleo Yoovidhya	Thailand 	78 	4.1 	Thailand
212 	Americo Amorim	Portugal 	75 	4.0 	Portugal
212 	Jeronimo Arango & family	Mexico 	84 	4.0 	Mexico
212 	John Arnold	United States 	36 	4.0 	United States
212 	Richard Branson	United Kingdom 	59 	4.0 	United Kingdom
212 	Charles Butt & family	United States 	72 	4.0 	United States
212 	Ray Dalio	United States 	60 	4.0 	United States
212 	John Paul DeJoria	United States 	66 	4.0 	United States
212 	Bernard Ecclestone & family	United Kingdom 	79 	4.0 	United Kingdom
212 	Hui Ka Yan	China 	51 	4.0 	China
212 	James, Arthur & John Irving	Canada 	NA 	4.0 	Canada
212 	Charles Johnson	United States 	77 	4.0 	United States
212 	Leonard Lauder	United States 	77 	4.0 	United States
212 	Richard LeFrak & family	United States 	64 	4.0 	United States
212 	Alain Merieux & family	France 	72 	4.0 	France
212 	Donald Newhouse	United States 	80 	4.0 	United States
212 	Jim Pattison	Canada 	81 	4.0 	Canada
212 	Daniel Ziff	United States 	38 	4.0 	United States
212 	Dirk Ziff	United States 	45 	4.0 	United States
212 	Robert Ziff	United States 	43 	4.0 	United States
212 	Mark Zuckerberg	United States 	25 	4.0 	United States
232 	Paul Desmarais	Canada 	83 	3.9 	Canada
232 	Nicolas Hayek	Switzerland 	81 	3.9 	Switzerland
232 	Robert Holding	United States 	83 	3.9 	United States
232 	Bradley Hughes	United States 	76 	3.9 	United States
232 	Wu Yajun & family	China 	46 	3.9 	China
237 	Michael Herz	Germany 	64 	3.8 	Germany
237 	Wolfgang Herz	Germany 	59 	3.8 	Germany
237 	Rupert Johnson Jr	United States 	68 	3.8 	United States
237 	Paul Milstein & family	United States 	87 	3.8 	United States
237 	Gordon Moore	United States 	81 	3.8 	United States
237 	George Roberts	United States 	66 	3.8 	United States
237 	Bernard (Barry) Sherman	Canada 	68 	3.8 	Canada
237 	Andreas Strungmann	Germany 	60 	3.8 	Germany
237 	Thomas Strungmann	Germany 	60 	3.8 	Germany
237 	Samuel Zell	United States 	68 	3.8 	United States
247 	Vladimir Kim	Kazakhstan 	49 	3.7 	Kazakhstan
247 	Hermann Schnabel	Germany 	89 	3.7 	Germany
249 	Pyotr Aven	Russia 	55 	3.6 	Russia
249 	Otto Beisheim	Germany 	86 	3.6 	Switzerland
249 	Chung Mong-Koo	South Korea 	72 	3.6 	South Korea
249 	Richard Kinder	United States 	65 	3.6 	United States
249 	Liang Wengen	China 	53 	3.6 	China
249 	Frank Lowy & family	Australia 	79 	3.6 	Australia
249 	Ma Huateng	China 	38 	3.6 	China
249 	Arnon Milchan	Israel 	65 	3.6 	Israel
249 	Leonard Stern	United States 	72 	3.6 	United States
258 	Abdul Aziz Al Ghurair & family	United Arab Emirates 	55 	3.5 	United Arab Emirates
258 	Ray Dolby	United States 	77 	3.5 	United States
258 	William Fung	Hong Kong 	62 	3.5 	Hong Kong
258 	Stein Erik Hagen & family	Norway 	53 	3.5 	Norway
258 	Michael Hartono	Indonesia 	70 	3.5 	Indonesia
258 	R. Budi Hartono	Indonesia 	69 	3.5 	Indonesia
258 	Bruce Kovner	United States 	65 	3.5 	United States
258 	Kjeld Kirk Kristiansen	Denmark 	62 	3.5 	Denmark
258 	Kuok Khoon Hong	Singapore 	60 	3.5 	Singapore
258 	Robin Li	China 	41 	3.5 	China
258 	Lorenzo Mendoza & family	Venezuela 	44 	3.5 	Venezuela
258 	Rosalia Mera	Spain 	66 	3.5 	Spain
258 	Denis O'Brien	Ireland 	51 	3.5 	Ireland
258 	James Packer	Australia 	42 	3.5 	Australia
258 	Michael & Rainer Schmidt-Ruthenbeck	Germany 	NA 	3.5 	Germany
258 	David Tepper	United States 	52 	3.5 	United States
258 	Wee Cho Yaw & family	Singapore 	81 	3.5 	Singapore
258 	Stef Wertheimer & family	Israel 	84 	3.5 	Israel 
258 	Aloys Wobben	Germany 	58 	3.5 	Germany
277 	Shari Arison	Israel 	52 	3.4 	Israel
277 	Martin & Olivier Bouygues	France 	57 	3.4 	France
277 	Bernard Broermann	Germany 	66 	3.4 	Germany
277 	Chen Fashu	China 	49 	3.4 	China
277 	Eitaro Itoyama	Japan 	67 	3.4 	Japan
277 	Quek Leng Chan	Malaysia 	69 	3.4 	Malaysia
277 	Stephen Ross	United States 	69 	3.4 	United States
277 	John Sall	United States 	61 	3.4 	United States
277 	Teh Hong Piow	Malaysia 	80 	3.4 	Malaysia
277 	Yang Huiyan	China 	28 	3.4 	China
287 	Patokh Chodiev	Belgium 	57 	3.3 	Kazakhstan
287 	Victor Fung & family	United States 	64 	3.3 	Hong Kong
287 	Walter Haefner	Switzerland 	99 	3.3 	Switzerland
287 	He Xiangjian	China 	67 	3.3 	China
287 	Hui Wing Mau	Hong Kong 	60 	3.3 	Hong Kong
287 	Alijan Ibragimov	Kazakhstan 	56 	3.3 	Kazakhstan
287 	Alexander Machkevich	Israel 	56 	3.3 	Kazakhstan
287 	Daniel Och	United States 	49 	3.3 	United States
287 	Henry Ross Perot Sr	United States 	79 	3.3 	United States
287 	Haim Saban	United States 	65 	3.3 	United States
297 	Ronald Burkle	United States 	57 	3.2 	United States
297 	Chen Din Hwa	Hong Kong 	87 	3.2 	Hong Kong
297 	Frits Goldschmeding	Netherlands 	76 	3.2 	Netherlands
297 	Paul Tudor Jones II	United States 	55 	3.2 	United States 
297 	Liu Zhongtian	China 	46 	3.2 	China
297 	G. M. Rao	India 	59 	3.2 	India
297 	Anton Schlecker	Germany 	65 	3.2 	Germany
297 	Malvinder & Shivinder Singh	India 	37 	3.2 	India
297 	Nikolai Tsvetkov	Russia 	49 	3.2 	Russia
307 	Richard Chandler	New Zealand 	51 	3.1 	New Zealand
307 	Heidi Horten	Austria 	69 	3.1 	Austria
307 	Kirk Kerkorian	United States 	92 	3.1 	United States
307 	Lu Xiangyang	China 	48 	3.1 	China
307 	Patrick McGovern	United States 	72 	3.1 	United States
307 	Victor Pinchuk	Ukraine 	49 	3.1 	Ukraine
307 	Onsi Sawiris	Egypt 	80 	3.1 	Egypt
307 	Takemitsu Takizaki	Japan 	64 	3.1 	Japan
307 	Zhou Chengjian	China 	44 	3.1 	China
316 	Riley Bechtel	United States 	58 	3.0 	United States
316 	Stephen Bechtel Jr	United States 	84 	3.0 	United States
316 	Abilio dos Santos Diniz	Brazil 	73 	3.0 	Brazil
316 	Antonio Ermirio de Moraes & family	Brazil 	81 	3.0 	Brazil
316 	Thomas Frist Jr & family	United States 	71 	3.0 	United States
316 	David Green	United States 	68 	3.0 	United States
316 	Bahaa Hariri	Switzerland 	43 	3.0 	Switzerland
316 	Ray Lee Hunt	United States 	67 	3.0 	United States
316 	James Jannard	United States 	60 	3.0 	United States
316 	Barbara Piasecka Johnson	United States 	73 	3.0 	Monaco 
316 	Peter Kellogg	United States 	67 	3.0 	United States
316 	William Koch	United States 	69 	3.0 	United States
316 	Herbert Kohler Jr & family	United States 	71 	3.0 	United States
316 	Uday Kotak	India 	51 	3.0 	India
316 	Edward Lampert	United States 	47 	3.0 	United States
316 	Theodore Lerner	United States 	84 	3.0 	United States
316 	Joseph Lewis	United Kingdom 	73 	3.0 	Bahamas
316 	George Lucas	United States 	65 	3.0 	United States
316 	Husnu Ozyegin	Turkey 	65 	3.0 	Turkey
316 	Liselott Persson	Sweden 	60 	3.0 	Sweden
316 	Donald Schneider	United States 	74 	3.0 	United States
316 	Martua Sitorus	Indonesia 	50 	3.0 	Singapore
316 	Steven Spielberg	United States 	63 	3.0 	United States
316 	Warren Stephens	United States 	53 	3.0 	United States
316 	Harry Triguboff	Australia 	77 	3.0 	Australia
316 	Wang Jianlin	China 	56 	3.0 	China
342 	Elena Baturina	Russia 	47 	2.9 	Russia
342 	Charles Cadogan & family	United Kingdom 	73 	2.9 	United Kingdom
342 	Sergei Galitsky	Russia 	42 	2.9 	Russia
342 	Mehmet Emin Karamehmet	Turkey 	65 	2.9 	Turkey
342 	E. Stanley Kroenke	United States 	62 	2.9 	United States
342 	Barry Lam	Taiwan 	60 	2.9 	Taiwan
342 	Kalanithi Maran	India 	44 	2.9 	India
342 	Dmitry Pumpyansky	Russia 	46 	2.9 	Russia
342 	Richard Schulze	United States 	69 	2.9 	United States 
342 	Charoen Sirivadhanabhakdi	Thailand 	65 	2.9 	Thailand
342 	John Sobrato & family	United States 	70 	2.9 	United States
342 	Ty Warner	United States 	66 	2.9 	United States
354 	Subhash Chandra	India 	59 	2.8 	India
354 	Stanley Druckenmiller	United States 	56 	2.8 	United States
354 	Alexander Frolov	Russia 	45 	2.8 	Russia
354 	Otto Happel	Germany 	62 	2.8 	Switzerland
354 	Micky Jagtiani	India 	58 	2.8 	United Arab Emirates
354 	Indu Jain	India 	73 	2.8 	India
354 	Sergio Mantegazza	Switzerland 	82 	2.8 	Switzerland
354 	Stephan Schmidheiny	Switzerland 	62 	2.8 	Switzerland
354 	Roger Wang	United States 	61 	2.8 	China
363 	Nancy Walton Laurie	United States 	58 	2.7 	United States
363 	Heinz Hermann Thiele & family	Germany 	68 	2.7 	Germany
363 	Joan Tisch	United States 	84 	2.7 	United States
363 	Steven Udvar-Hazy	United States 	64 	2.7 	United States
367 	Charles Dolan & family	United States 	83 	2.6 	United States
367 	Albert Frere	Belgium 	84 	2.6 	Belgium
367 	Saleh Kamel	Saudi Arabia 	68 	2.6 	Saudi Arabia
367 	Ronald Lauder	United States 	66 	2.6 	United States
367 	Mitchell Rales	United States 	53 	2.6 	United States
367 	Steven Rales	United States 	58 	2.6 	United States
367 	Sarik Tara	Turkey 	79 	2.6 	Turkey
374 	David Azrieli & family	Canada 	87 	2.5 	Canada
374 	Leon Black	United States 	58 	2.5 	United States 
374 	Edgar Bronfman Sr	United States 	80 	2.5 	United States
374 	Hubert Burda	Germany 	70 	2.5 	Germany
374 	William Conway Jr	United States 	60 	2.5 	United States
374 	Daniel D'Aniello	United States 	63 	2.5 	United States
374 	Doris Fisher	United States 	78 	2.5 	United States
374 	Laurence Graff	United Kingdom 	71 	2.5 	Switzerland
374 	William Hilton	United States 	82 	2.5 	United States
374 	Guy Laliberte	Canada 	50 	2.5 	Canada
374 	James Leprino	United States 	72 	2.5 	United States
374 	Liu Yonghao	China 	58 	2.5 	China
374 	Lu Zhiqiang	China 	58 	2.5 	China
374 	Najib Mikati	Lebanon 	54 	2.5 	Lebanon
374 	Taha Mikati	Lebanon 	61 	2.5 	Lebanon
374 	Robert Miller	Canada 	64 	2.5 	Canada
374 	David Murdock	United States 	86 	2.5 	United States
374 	Richard Rainwater	United States 	65 	2.5 	United States
374 	David Rubenstein	United States 	60 	2.5 	United States
374 	Naguib Sawiris	Egypt 	55 	2.5 	Egypt
374 	David Shaw	United States 	59 	2.5 	United States
374 	Friede Springer	Germany 	67 	2.5 	Germany
374 	David Sun	United States 	58 	2.5 	United States
374 	John Tu	United States 	68 	2.5 	United States
374 	Michael Ying	Hong Kong 	60 	2.5 	Hong Kong
374 	Zhang Zhirong	Hong Kong 	41 	2.5 	Hong Kong
400 	Mohammed Al Issa	Saudi Arabia 	85 	2.4 	Saudi Arabia 
400 	Vladimir Bogdanov	Russia 	58 	2.4 	Russia
400 	Clive Calder	United Kingdom 	63 	2.4 	Cayman Islands
400 	Mark Cuban	United States 	51 	2.4 	United States
400 	John Dorrance III	Ireland 	66 	2.4 	Ireland
400 	Filaret Galchev	Russia 	46 	2.4 	Russia
400 	John Gandel	Australia 	75 	2.4 	Australia
400 	Malcolm Glazer & family	United States 	81 	2.4 	United States
400 	Guo Guangchang	China 	43 	2.4 	China
400 	Xiuli Hawken	United Kingdom 	47 	2.4 	United Kingdom
400 	Manuel Jove	Spain 	68 	2.4 	Spain
400 	Lu Guanqiu	China 	65 	2.4 	China
400 	John Malone	United States 	69 	2.4 	United States
400 	Mario Moretti Polegato	Italy 	57 	2.4 	Italy
400 	Sumner Redstone	United States 	86 	2.4 	United States
400 	Emanuele (Lino) Saputo	Canada 	73 	2.4 	Canada
400 	Dieter Schnabel	Germany 	64 	2.4 	Germany
400 	Jeffrey Skoll	Canada 	45 	2.4 	United States
400 	Ronda Stryker	United States 	55 	2.4 	United States
400 	Oprah Winfrey	United States 	56 	2.4 	United States
400 	Zhu Yicai	China 	46 	2.4 	China
421 	Saif Al Ghurair & family	United Arab Emirates 	NA 	2.3 	United Arab Emirates
421 	Abdullah Al Rajhi	Saudi Arabia 	NA 	2.3 	Saudi Arabia
421 	James Balsillie	Canada 	49 	2.3 	Canada
421 	David & Frederick Barclay	United Kingdom 	76 	2.3 	United Kingdom
421 	Archie Aldis Emmerson	United States 	80 	2.3 	United States 
421 	Gunter Herz	Germany 	69 	2.3 	Germany
421 	Amos Hostetter Jr	United States 	73 	2.3 	United States
421 	Huang Rulun	China 	58 	2.3 	China
421 	Lin Rong San	Taiwan 	NA 	2.3 	Taiwan
421 	Wallace McCain	Canada 	80 	2.3 	Canada
421 	Patrice Motsepe	South Africa 	48 	2.3 	South Africa
421 	Sean Quinn & family	Ireland 	63 	2.3 	Ireland
421 	Johann Rupert & family	South Africa 	59 	2.3 	South Africa
421 	Moise Safra	Brazil 	75 	2.3 	Brazil
421 	Leslie Wexner	United States 	72 	2.3 	United States
421 	Yeoh Tiong Lay & family	Malaysia 	80 	2.3 	Malaysia
437 	Pierre Bellon & family	France 	80 	2.2 	France
437 	Nicolas Berggruen	United States 	48 	2.2 	United States
437 	William Ding	China 	38 	2.2 	China
437 	Richard Elman & family	United Kingdom 	NA 	2.2 	Hong Kong
437 	Phillip Frost	United States 	73 	2.2 	United States
437 	Tom Gores	United States 	45 	2.2 	United States
437 	Mikhail Gutseriev	Russia 	52 	2.2 	United Kingdom
437 	Daniela Herz	Germany 	56 	2.2 	Germany
437 	Elie Horn	Brazil 	64 	2.2 	Brazil
437 	Alicia Koplowitz	Spain 	55 	2.2 	Spain
437 	Mike Lazaridis	Canada 	49 	2.2 	Canada
437 	Mary Alice Dorrance Malone	United States 	60 	2.2 	United States
437 	Masahiro Miki	Japan 	54 	2.2 	Japan
437 	George Mitchell	United States 	90 	2.2 	United States 
437 	Kerr Neilson	Australia 	60 	2.2 	Australia
437 	Dinu Patriciu	Romania 	59 	2.2 	Romania
437 	Sebastian Pinera	Chile 	60 	2.2 	Chile
437 	Julian Robertson Jr	United States 	78 	2.2 	United States
437 	David Rockefeller Sr	United States 	94 	2.2 	United States
437 	Alexandra Schorghuber	Germany 	51 	2.2 	Germany
437 	Bruno Schroder & family	United Kingdom 	77 	2.2 	United Kingdom
437 	Antonio Luiz Seabra	Brazil 	67 	2.2 	United Kingdom
437 	Peter Sondakh	Indonesia 	58 	2.2 	Indonesia
437 	Glen Taylor	United States 	68 	2.2 	United States
437 	Olav Thon	Norway 	86 	2.2 	Norway
437 	Albert von Thurn und Taxis	Germany 	26 	2.2 	Germany
463 	Majid Al Futtaim	United Arab Emirates 	NA 	2.1 	United Arab Emirates
463 	Carlo Benetton	Italy 	66 	2.1 	Italy
463 	Gilberto Benetton	Italy 	68 	2.1 	Italy
